	Sequences	ChIP Score	BHLHE40_GM12878_1	BHLHE40_FB_1	BHLHE40_GM12878_5	BHLHE40_GM12878_4	BHLHE40_GM12878_3	BHLHE40_GM12878_2
0	chr6:131853593-131854093	95	1.5881443531729097e-07	0.00043463586559035124	2.151349404489249e-10	3.312607453395856e-16	4.1602080768470084e-05	2.0262944383983528e-19
1	chr2:232527387-232527887	83	0.10640474530392065	0.01776151200525756	1.7475756076603748e-10	2.209019833230134e-10	1.0039669887684581e-15	6.71193851452589e-29
2	chr17:8758723-8759223	448	0.0905382179128559	0.04754684994636616	3.6216417262116727e-10	2.257034594049884e-16	0.0003396934205924593	8.684284954400797e-18
3	chr2:96813168-96813668	147	0.39712940811309594	0.20838090843410975	6.889825764408426e-20	7.859621927596145e-11	7.43790115797513e-10	8.591877861896179e-29
4	chr20:25603663-25604163	101	7.894374963439806e-05	0.0013386514418791688	3.942505110627165e-10	2.2625654299112782e-10	5.277187199940341e-06	6.048058027423734e-24
5	chr3:193852076-193852576	181	0.0028902814496708194	1.3441020810994855e-05	6.889825764408426e-20	8.630051971378971e-05	9.607215113476177e-16	1.0147257846767372e-25
6	chr9:112737079-112737579	272	0.11820008604032474	0.08832854347269148	1.0571767299142111e-10	1.0895237773125314e-14	2.969065147772179e-12	1.0
7	chr7:110273274-110273774	88	4.146564497541507e-15	3.5414031977695105e-06	1.0	8.117621343775408e-15	0.004717301564627283	3.6132904314584903e-31
8	chr17:74423722-74424222	119	1.9157243176733686e-05	0.00016605099244240617	0.2681484741933632	2.387382867878084e-20	3.4732827131652033e-06	5.2274933414136216e-30
9	chr10:80787312-80787812	98	0.000658298253862696	0.0010985295861244276	5.753355449155797e-11	9.145850093639491e-14	9.268442453381598e-15	2.277468758279726e-24
10	chr5:55366862-55367362	198	0.033618483047680205	0.8812822887861423	3.477401968034322e-10	2.856685559074889e-18	9.992679902460305e-05	2.4796988753030138e-36
11	chrX:37636110-37636610	89	5.754691715531538e-05	3.715791166132429e-05	1.7475756076603748e-10	2.9407767632900427e-10	0.002865775397748595	1.1619494660900855e-31
12	chrX:153237857-153238357	109	0.003779105837923262	0.009361684456748452	1.1708049817139582e-10	5.620314681246251e-06	2.818280456047781e-17	1.1694036311050886e-22
13	chrX:44731523-44732023	94	3.893011233540957e-07	0.014595082926369218	1.666520399915555e-20	1.0162867951212769e-07	6.400854881204444e-16	2.5538803305408714e-25
14	chr19:47733426-47733926	110	0.008467560897345076	0.00020900522785190657	4.240236175031751e-20	1.7946925759081153e-08	8.989824150255935e-08	3.140873905075356e-15
15	chr1:25069938-25070438	90	0.00010406566704855192	0.00046957403162066355	9.536184830061028e-11	2.4553606559299885e-12	2.8791781501973524e-06	1.406468098691014e-17
16	chr6:28207322-28207822	148	5.293401753663415e-15	7.1460049417839475e-06	6.329092740412511e-20	5.7314799306947695e-25	5.166230586113621e-09	6.366838377200929e-35
17	chr22:38214647-38215147	111	5.96580304292553e-05	0.00041382727734119403	1.7475756076603748e-10	5.885599063985664e-07	9.384617959432576e-14	1.165761242635537e-31
18	chr1:229759518-229760018	92	0.010137667403071154	0.01018096148144743	6.388858173940766e-11	1.839438501841463e-16	8.547631990347058e-07	2.1284618053964501e-26
19	chr16:50279488-50279988	75	0.14989724070960037	0.1204703219376909	1.7475756076603748e-10	5.088464261408178e-07	3.72274516317468e-08	7.439298715107189e-24
20	chr17:56591723-56592223	182	3.292143041514792e-06	0.00018630023269890526	6.388858173940766e-11	3.722414148523567e-08	1.5098197210694096e-16	1.8693329537196743e-23
21	chr15:38964927-38965427	151	0.003432761104919756	0.00206524626529568	1.2712827925824075e-10	4.774033114090587e-15	9.930943513452854e-14	1.6737811561293818e-26
22	chr12:122226938-122227438	192	0.015897261778102235	0.02277964410459762	0.49140168849754784	4.1993861782638427e-10	4.152853061029631e-07	1.5447970782081335e-25
23	chr15:91478290-91478790	158	0.0016028329266073809	0.009192072906824805	2.0836592160389788e-20	1.3581995962946835e-09	2.0609047019474304e-18	1.8167814350011703e-22
24	chr14:52246686-52247186	113	0.0018984999793389833	0.002407308111409828	9.536184830061028e-11	4.5002932874465554e-09	2.636170767114466e-05	2.7799949512398876e-34
25	chr14:53162138-53162638	86	0.002853740145162986	4.749813760202313e-06	5.753355449155797e-11	1.6245291563359156e-08	2.313006414005845e-12	3.869252286791702e-16
26	chr1:167035795-167036295	80	0.0033150510680191657	2.2281326587562955e-05	6.388858173940766e-11	8.622393121037356e-09	0.00203248894913085	3.183040984408526e-26
